query_id	name	gene	product	start	end	strand	method	status	coverage	length
KU131564.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5	13791	14393	+	minimap_transfer	ok	1.0	603
KU131564.1	unglycosylated membrane protein M		unglycosylated membrane protein M	14378	14902	+	minimap_transfer	ok	1.0	525
KU131564.1	nucleocapsid protein N		nucleocapsid protein N	14892	15263	+	minimap_transfer	ok	1.0	372
LQ249403.1	polyprotein 1a		polyprotein 1a			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	polyprotein 1b		polyprotein 1b			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	glycosylated membrane protein		glycosylated membrane protein			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	envelope protein		envelope protein			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	no_alignment	0.0	
LQ249403.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	no_alignment	0.0	
MN175678.1	polyprotein 1a		polyprotein 1a			+	minimap_transfer	no_alignment	0.0	
MN175678.1	polyprotein 1b		polyprotein 1b			+	minimap_transfer	no_alignment	0.0	
MN175678.1	glycosylated membrane protein		glycosylated membrane protein			+	minimap_transfer	no_alignment	0.0	
MN175678.1	envelope protein		envelope protein			+	minimap_transfer	no_alignment	0.0	
MN175678.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3			+	minimap_transfer	no_alignment	0.0	
MN175678.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	no_alignment	0.0	
MN175678.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	no_alignment	0.0	
MN175678.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	no_alignment	0.0	
MN175678.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	no_alignment	0.0	
MN073155.1	polyprotein 1a		polyprotein 1a			+	minimap_transfer	no_alignment	0.0	
MN073155.1	polyprotein 1b		polyprotein 1b			+	minimap_transfer	no_alignment	0.0	
MN073155.1	glycosylated membrane protein		glycosylated membrane protein			+	minimap_transfer	no_alignment	0.0	
MN073155.1	envelope protein		envelope protein			+	minimap_transfer	no_alignment	0.0	
MN073155.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3			+	minimap_transfer	no_alignment	0.0	
MN073155.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	no_alignment	0.0	
MN073155.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	no_alignment	0.0	
MN073155.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	no_alignment	0.0	
MN073155.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	no_alignment	0.0	
MT746146.1	polyprotein 1a		polyprotein 1a	190	7701	+	minimap_transfer	ok	1.0	7512
MT746146.1	polyprotein 1b		polyprotein 1b	7686	12071	+	minimap_transfer	ok	1.0	4386
MT746146.1	glycosylated membrane protein		glycosylated membrane protein	12073	12843	+	minimap_transfer	ok	1.0	771
MT746146.1	envelope protein		envelope protein	12078	12299	+	minimap_transfer	ok	1.0	222
MT746146.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3	12696	13460	+	minimap_transfer	ok	1.0	765
MT746146.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4	13241	13777	+	minimap_transfer	ok	1.0	537
MT746146.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5	13788	14390	+	minimap_transfer	ok	1.0	603
MT746146.1	unglycosylated membrane protein M		unglycosylated membrane protein M	14375	14899	+	minimap_transfer	ok	1.0	525
MT746146.1	nucleocapsid protein N		nucleocapsid protein N	14889	15260	+	minimap_transfer	ok	1.0	372
PP946131.1	polyprotein 1a		polyprotein 1a			+	minimap_transfer	no_alignment	0.0	
PP946131.1	polyprotein 1b		polyprotein 1b			+	minimap_transfer	no_alignment	0.0	
PP946131.1	glycosylated membrane protein		glycosylated membrane protein			+	minimap_transfer	no_alignment	0.0	
PP946131.1	envelope protein		envelope protein			+	minimap_transfer	no_alignment	0.0	
PP946131.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3			+	minimap_transfer	no_alignment	0.0	
PP946131.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	no_alignment	0.0	
PP946131.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	no_alignment	0.0	
PP946131.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	no_alignment	0.0	
PP946131.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	polyprotein 1a		polyprotein 1a			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	polyprotein 1b		polyprotein 1b			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	glycosylated membrane protein		glycosylated membrane protein			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	envelope protein		envelope protein			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	no_alignment	0.0	
PQ580367.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	no_alignment	0.0	
PX097596.1	polyprotein 1a		polyprotein 1a	191	7702	+	minimap_transfer	ok	1.0	7512
PX097596.1	polyprotein 1b		polyprotein 1b	7687	12072	+	minimap_transfer	ok	1.0	4386
PX097596.1	glycosylated membrane protein		glycosylated membrane protein	12074	12844	+	minimap_transfer	ok	1.0	771
PX097596.1	envelope protein		envelope protein	12079	12300	+	minimap_transfer	ok	1.0	222
PX097596.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3	12697	13461	+	minimap_transfer	ok	1.0	765
PX097596.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4	13242	13778	+	minimap_transfer	ok	1.0	537
PX097596.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5	13789	14391	+	minimap_transfer	ok	1.0	603
PX097596.1	unglycosylated membrane protein M		unglycosylated membrane protein M	14376	14900	+	minimap_transfer	ok	1.0	525
PX097596.1	nucleocapsid protein N		nucleocapsid protein N	14890	15261	+	minimap_transfer	ok	1.0	372
DQ988080.1	polyprotein 1a		polyprotein 1a			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	polyprotein 1b		polyprotein 1b			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	glycosylated membrane protein		glycosylated membrane protein			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	envelope protein		envelope protein			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	no_alignment	0.0	
DQ988080.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	no_alignment	0.0	
GM989520.1	polyprotein 1a		polyprotein 1a	6459	7811	+	minimap_transfer	low_coverage	0.1801	
GM989520.1	polyprotein 1b		polyprotein 1b	7796	12181	+	minimap_transfer	ok	1.0	4386
GM989520.1	glycosylated membrane protein		glycosylated membrane protein	12206	12959	+	minimap_transfer	ok	0.978	754
GM989520.1	envelope protein		envelope protein	12211	12432	+	minimap_transfer	ok	1.0	222
GM989520.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3	12829	12959	+	minimap_transfer	low_coverage	0.1712	
GM989520.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	unmapped	0.0	
GM989520.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	unmapped	0.0	
GM989520.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	unmapped	0.0	
GM989520.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	unmapped	0.0	
JN662424.1	polyprotein 1a		polyprotein 1a	7316	7804	+	minimap_transfer	low_coverage	0.0651	
JN662424.1	polyprotein 1b		polyprotein 1b	7789	11105	+	minimap_transfer	low_coverage	0.7563	
JN662424.1	glycosylated membrane protein		glycosylated membrane protein			+	minimap_transfer	unmapped	0.0	
JN662424.1	envelope protein		envelope protein			+	minimap_transfer	unmapped	0.0	
JN662424.1	glycosylated membrane protein GP3		glycosylated membrane protein GP3			+	minimap_transfer	unmapped	0.0	
JN662424.1	glycosylated membrane protein GP4		glycosylated membrane protein GP4			+	minimap_transfer	unmapped	0.0	
JN662424.1	glycosylated membrane protein GP5		glycosylated membrane protein GP5			+	minimap_transfer	unmapped	0.0	
JN662424.1	unglycosylated membrane protein M		unglycosylated membrane protein M			+	minimap_transfer	unmapped	0.0	
JN662424.1	nucleocapsid protein N		nucleocapsid protein N			+	minimap_transfer	unmapped	0.0	
